# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Ashnod, Flesh Mechanist	PBRO	84p	BRO	84
Ashnod, Flesh Mechanist	PBRO	84s	BRO	84
Ashroot Animist	PFDN	117s	FDN	117
Asinine Antics	PWOE	42p	WOE	42
Asinine Antics	PWOE	42s	WOE	42
Asmodeus the Archfiend	PAFR	88a	AFR	373
Asmodeus the Archfiend	PAFR	88p	AFR	88
Asmodeus the Archfiend	PAFR	88s	AFR	88
Asmoranomardicadaistinaculdacar	PMH2	186s	MH2	186
Aspect of Wolf	CED	185	2ED	185
Aspect of Wolf	CEI	185	2ED	185
Aspect of Wolf	SUM	186	3ED	186
Aspiring Champion	40K	71★	40K	71
Ass Whuppin'	PUNH	117★	UNH	117
Assassin's Trophy	PGRN	152p	GRN	152
Assassin's Trophy	PGRN	152s	GRN	152
Assassin's Trophy	PMKM	187p	MKM	187
Assassin's Trophy	PMKM	187s	MKM	187
Assault Intercessor	40K	104★	40K	104
Assault Suit	40K	230★	40K	230
Assemble the Players	PMKM	3p	MKM	3
Assemble the Players	PMKM	3s	MKM	3
Assembled Alphas	PEMN	117s	PEMN	117
Assimilation Aegis	POTJ	192p	OTJ	192
Assimilation Aegis	POTJ	192s	OTJ	192
Assure // Assemble	PGRN	221s	GRN	221
Astarion's Thirst	PCLB	114s	CLB	114
Astarion, the Decadent	PCLB	265s	CLB	265
Astelli Reclaimer	PEOE	4p	EOE	4
Astelli Reclaimer	PEOE	4s	EOE	4
Astor, Bearer of Blades	PDMU	194p	DMU	194
Astor, Bearer of Blades	PDMU	194s	DMU	194
Astral Cornucopia	BRR	68z	BRR	68
Astral Slide	WC04	jn4	ONS	4
Astrologian's Planisphere	PFIN	46s	FIN	46
Asylum Visitor	PSOI	99s	SOI	99
Atalan Jackal	40K	105★	40K	105
Atarka's Command	PDTK	213s	DTK	213
Atarka, World Render	PFRF	149p	FRF	149
Atarka, World Render	PFRF	149s	FRF	149
Atarka, World Render	PFRF	149★	FRF	149
Atemsis, All-Seeing	PM20	46p	M20	46
Atemsis, All-Seeing	PM20	46s	M20	46
Atog	ATQ	23†	ATQ	23
Atog	SUM	139	3ED	139
Atraxa, Praetors' Voice	MUL	163z	MUL	163
Atraxa, Praetors' Voice	OC16	28	C16	28
Atris, Oracle of Half-Truths	MUL	164z	MUL	164
Atris, Oracle of Half-Truths	PTHB	209p	THB	209
Atris, Oracle of Half-Truths	PTHB	209s	THB	209
Attunement	WC00	tvdl61	USG	61
Audacious Swap	PNCC	44p	NCC	44
Audience with Trostani	PMKM	152p	MKM	152
Audience with Trostani	PMKM	152s	MKM	152
